Negara Tujuan;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Jepang;65327.4;58355.8;56613.1;52350.8;54341.8;49526.6;67012.3;51725.3;52992.2;53678.5;59170.9;58878.9;51438.4;41921;41234.3;41240.2;35351.9;29503;30364.2;25587.8;23471.6;;;
Singapura;12699.1;9973.6;12473.1;8794.7;9887.1;13169.8;14558.1;12630.6;7237;7305.8;6079;6240.4;9154.1;8677.9;7725.9;9212.9;7099.4;7178;7814.1;8717.1;5212.9;27297;18813.5;15316.8
Malaysia;7422;8858.1;9748.5;5808.5;6548.7;6559.3;8500.7;12407.5;17370.3;17803.2;26200.1;26382.1;33151.1;40597;29136.7;38376.9;39061.5;41394.1;37321.7;34663.1;36186;5377;6573.2;5522.3
India;2224.9;2852.9;2191;3270.1;5100.6;18004.8;11172.7;8294.9;12085;9950.7;9733.3;12162.4;19884;18292.4;14434.3;19303;11574;8291;2236.6;12578.5;19998;29180.7;26117.3;22690.9
Mesir;5141.4;4786.9;3874.2;5380.9;8047;10231.3;11721.7;5469;10109;10079.8;12024.7;10013.9;17594.6;17538.3;15712.9;20854.2;21142.7;24039.6;29307.8;34285;32536.7;22109.6;43596.9;23811.3
Maroko;6852.1;5289.8;6406.4;5757.3;6605;5756.3;7627.2;6247.8;6860.4;7900.2;8369.1;10013;11268.6;12874.3;10418.7;11069.1;9778.1;11072.4;11075.1;9663.9;9603.7;48521.3;37428.4;32047.8
Aljazair;1526;2337.1;3189.8;5440.2;14131.1;22031.1;14073;8379.6;23205.6;26531.9;10303.2;7298.4;10488.9;24265.5;10590.6;16911.6;9885;19022.9;5007.9;4872.6;5919.6;12164.1;9230.4;6633.2
Amerika Serikat;33167.5;36678.8;43030.8;48090;72461.3;84121.1;85503.2;66222.5;65646;71603.7;63048;48094.7;69687.6;66138.1;58308.5;65481.4;67309.2;63237.6;52083.5;58666.2;54473.7;3918.1;13142.5;5291.4
Inggris;11089;5915.3;10480.4;12212.3;10474.6;16441.9;12245.8;8822.6;15125.2;16425.5;24343.2;14868.4;16312.4;20781;14349.2;21052.6;18355.9;21937.5;7555.1;18923.5;21349.5;57694;55810.2;36625.6
Jerman;47641.8;29411.3;53543.8;57592.4;53810.1;78753.8;60225.2;43074.1;89600.9;78876;63688.4;26461;50978.2;60418.5;37976.7;47662.4;42628.4;44739.6;13082.6;18451.4;21321.9;12259.5;20778;4339
Italia;19440.8;11359.9;15011.2;24906.5;21348.3;30500.4;27635.5;19529.4;30213.4;36188.4;26770.7;27344.4;29080.8;38152.5;29745.5;43048.3;35819.8;38102.9;27929.5;35452.2;27237.5;13334.9;36976.4;9460.4
Rumania;4904.1;5428.7;10296.2;9150.1;7505.2;8912.4;8743.9;4613.4;4565.9;4816.9;2219.4;1497;1362;507.6;397.9;492.6;282;1207.8;1076;1140;585.6;24590;24006.2;18122
Georgia;3433.5;2629.5;4848.8;5332.8;5344.5;8098.5;9510.3;6455.6;9238.4;11486.8;9077.4;6893;9133.5;12029.6;10277.1;12167.5;11228.2;11706.5;10746;12229.6;12748;509.4;340;372.7
Belgia;5410.8;6214.4;8383.5;4218;9002.2;12927.6;4896.3;4742.6;37108.4;33544.9;16661.5;19165.6;15430.6;20832.6;14341.9;5541.8;12152.8;13156.2;6207;16259.6;14758.1;13398;15902.6;11536.4
Belanda;3344.6;3606.6;3576.2;2852.2;1878.4;1778.1;1993.8;1229.3;1892.3;3810;2630.6;1008;1039.9;1430.9;1704.2;3442.1;6402.8;2915;1631.5;1604.2;1490.8;14434;22179.8;3430.9
Denmark;854;1080.6;1580;1060.6;1172;601.3;535.6;666.3;399.8;520.8;613.7;194.1;230.3;267.1;342.8;269.3;248.7;57.2;62.6;38.2;75.5;2243.6;3598;3795
Perancis;2794.9;198.1;3769;2087;2498;4235.9;2009.4;2835.1;6301.8;8886.9;6025.4;4090.7;8832;12228.2;6269.4;13017.8;7657.6;2415.7;265.8;2945.3;4376.4;41.3;19.3;71
Lainnya;104039.4;53947.2;73527.6;66463.8;48491.9;71036.8;63544;57085.9;77900.6;110620.5;85762.6;65456.6;244976.8;299370.5;209061.3;287475.4;210443.5;264756.8;156835.8;190100.2;217253.5;5993.5;874.7;644.6
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
